date0,local_ip0,remote_asn0,flows0,date1,local_ip1,remote_asn1,flows1,date2,local_ip2,remote_asn2,flows2,date3,local_ip3,remote_asn3,flows3,date4,local_ip4,remote_asn4,flows4,date5,local_ip5,remote_asn5,flows5,date6,local_ip6,remote_asn6,flows6,date7,local_ip7,remote_asn7,flows7,date8,local_ip8,remote_asn8,flows8,date9,local_ip9,remote_asn9,flows9
702,0,13462,16,702,1,33653,1,704,2,3269,4,706,3,4134,1,706,4,7132,15,703,5,22781,1,705,6,553,2,703,7,6461,1,703,8,4267,2,703,9,7018,6
702,0,13749,849,702,1,36727,1,704,2,3462,1,706,3,4766,1,706,4,8400,70,703,5,26085,1,705,6,4134,2,703,7,7018,1,703,8,4323,17,703,9,7224,4
702,0,15802,1,703,1,3,5,704,2,3561,11,706,3,5400,1,706,4,11062,1,703,5,26101,2,705,6,4538,78,703,7,7132,2,703,8,6307,10,703,9,7743,23
702,0,17506,2,703,1,209,1,704,2,4812,1,706,3,6342,2,706,4,14778,2,703,5,26201,1,705,6,4766,2,703,7,8070,1,703,8,6334,20,703,9,7912,3
702,0,17858,1,703,1,680,2,704,2,5617,411,706,3,11062,2,706,4,18229,3,704,5,852,2,705,6,4808,1,703,7,8075,2,703,8,7132,22,703,9,8002,1
702,0,19262,1,703,1,2711,1,704,2,7018,935,706,3,12297,1,706,4,20773,3,704,5,2152,2,705,6,4837,17,703,7,8121,3,703,8,7258,3,703,9,8070,3
702,0,20401,1,703,1,3265,1564,704,2,7065,1,706,3,17429,1,706,4,22855,28,704,5,2418,2,705,6,9808,1,703,7,8560,1,703,8,8070,2,703,9,10565,1
702,0,22909,1,703,1,3269,30,704,2,7132,3,706,3,18229,1,706,4,31976,84,704,5,3269,22,705,6,10292,2,703,7,9156,11,703,8,10763,2,703,9,10763,6
702,0,24093,2,703,1,3320,1074,704,2,7377,73,706,3,20773,2,706,4,33651,118,704,5,3354,2,705,6,13749,2,703,7,10565,11,703,8,11734,1,703,9,10794,8
702,0,26085,1,703,1,3462,1,704,2,9800,1,706,3,25956,5,706,4,35315,2,704,5,3356,1,705,6,18118,2,703,7,10910,9,703,8,11771,10,703,9,11266,44
702,0,26101,1,703,1,3561,1,704,2,18229,11,706,3,34104,1,707,4,4134,2,704,5,3561,2,705,6,27715,2,703,7,12182,3,703,8,12222,4,703,9,12168,4
702,0,28573,1,703,1,4134,7,704,2,19181,1,707,3,1257,1,707,4,4323,1,704,5,4134,4,706,6,4134,1,703,7,12222,4,703,8,13749,279,703,9,12179,6
702,0,33651,1,703,1,4230,1,704,2,29863,8,707,3,3301,1,707,4,7132,173,704,5,4589,4,706,6,4713,1,703,7,13649,1,703,8,15169,253,703,9,12182,9
702,0,33657,1,703,1,4513,101,704,2,30099,4,707,3,4134,44,707,4,22855,28,704,5,4812,1,706,6,4766,1,703,7,13749,1,703,8,17820,2,703,9,12217,12
702,0,35916,1,703,1,4766,3,704,2,33260,4,707,3,6478,1,707,4,31976,83,704,5,8070,4,706,6,4837,1,703,7,14745,1,703,8,18229,169,703,9,14297,10
703,0,52,1,703,1,5617,1,705,2,16,1,707,3,7132,1,707,4,33651,28,704,5,8075,5,706,6,8400,1,703,7,14992,4,703,8,22822,14,703,9,14443,12
